,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,108.40666198730469,383.614990234375,16804.69921875,1.262833595275879,1214.5999755859375,39.31611251831055,124.66999816894531,383.614990234375,16804.69921875,1.262833595275879,1214.5999755859375,45.900001525878906,127.37000274658203,391.3789978027344,16804.69921875,1.2639987468719482,1217.800048828125,46.529998779296875,124.30999755859375,380.7799987792969,16804.69921875,1.2585740089416504,1205.5,45.849998474121094,127.37000274658203,387.427001953125,16804.69921875,1.2629133462905884,1207.699951171875,46.27000045776367,5265200.0,26229400,74420454.0,0.0,178.0,38088400.0
2014-10-02,107.9719009399414,375.0719909667969,16801.099609375,1.2624191045761108,1214.199951171875,39.19618225097656,124.16999816894531,375.0719909667969,16801.099609375,1.2624191045761108,1214.199951171875,45.7599983215332,125.55000305175781,385.49700927734375,16801.099609375,1.2690500020980835,1219.5,46.099998474121094,123.83999633789062,372.9460144042969,16801.099609375,1.2616099119186401,1210.300048828125,45.63999938964844,124.4000015258789,383.9880065917969,16801.099609375,1.2624987363815308,1215.300048828125,45.83000183105469,3204500.0,21777700,63612096.0,0.0,176.0,25119400.0
2014-10-03,109.87620544433594,359.5119934082031,17009.69921875,1.2670577764511108,1192.199951171875,39.478843688964844,126.36000061035156,359.5119934082031,17009.69921875,1.2670577764511108,1192.199951171875,46.09000015258789,126.87000274658203,377.69500732421875,17009.69921875,1.266993522644043,1212.4000244140625,46.29999923706055,124.66000366210938,357.8590087890625,17009.69921875,1.2501593828201294,1191.0,45.61000061035156,124.66000366210938,375.1809997558594,17009.69921875,1.266993522644043,1212.4000244140625,45.97999954223633,3075900.0,30901200,57516725.0,0.0,499.0,32453200.0
2014-10-04,,328.8659973144531,,,,,,328.8659973144531,,,,,,364.48699951171875,,,,,,325.885986328125,,,,,,359.8919982910156,,,,,,47236500,,,,
2014-10-05,,320.510009765625,,,,,,320.510009765625,,,,,,341.8009948730469,,,,,,289.2959899902344,,,,,,328.9159851074219,,,,,,83308096,,,,
2014-10-06,109.78926086425781,330.0790100097656,16991.900390625,1.2513607740402222,1206.699951171875,39.478843688964844,126.26000213623047,330.0790100097656,16991.900390625,1.2513607740402222,1206.699951171875,46.09000015258789,127.19000244140625,345.1340026855469,16991.900390625,1.2593204975128174,1208.0,46.29999923706055,125.37999725341797,302.55999755859375,16991.900390625,1.2515017986297607,1182.800048828125,45.91999816894531,127.08999633789062,320.3890075683594,16991.900390625,1.2515017986297607,1187.699951171875,46.119998931884766,2681000.0,79011800,50078084.0,0.0,415.0,20604000.0
2014-10-07,107.23279571533203,336.18701171875,16719.400390625,1.264606237411499,1211.699951171875,38.99917221069336,123.31999969482422,336.18701171875,16719.400390625,1.264606237411499,1211.699951171875,45.529998779296875,125.5199966430664,339.24700927734375,16719.400390625,1.266430377960205,1211.699951171875,45.93000030517578,123.29000091552734,320.48199462890625,16719.400390625,1.258469581604004,1205.300048828125,45.41999816894531,125.5199966430664,330.5840148925781,16719.400390625,1.2643983364105225,1209.0999755859375,45.86000061035156,3554900.0,49199900,64145376.0,0.0,272.0,25723700.0
2014-10-08,108.67621612548828,352.94000244140625,16994.19921875,1.266800880432129,1205.300048828125,40.06988525390625,124.9800033569336,352.94000244140625,16994.19921875,1.266800880432129,1205.300048828125,46.779998779296875,125.08999633789062,354.364013671875,16994.19921875,1.2690999507904053,1217.9000244140625,46.88999938964844,122.1500015258789,327.18798828125,16994.19921875,1.2624493837356567,1205.300048828125,45.34000015258789,123.47000122070312,336.1159973144531,16994.19921875,1.266800880432129,1210.199951171875,45.47999954223633,3610300.0,54736300,74057007.0,0.0,9.0,33031000.0
2014-10-09,106.7458267211914,365.0260009765625,16659.19921875,1.2743074893951416,1224.5999755859375,39.27328109741211,122.76000213623047,365.0260009765625,16659.19921875,1.2743074893951416,1224.5999755859375,45.849998474121094,124.75,382.72601318359375,16659.19921875,1.2793008089065552,1229.0,46.79999923706055,122.30999755859375,347.68701171875,16659.19921875,1.2677806615829468,1223.9000244140625,45.7400016784668,124.72000122070312,352.74798583984375,16659.19921875,1.2738852500915527,1223.9000244140625,46.5,4874700.0,83641104,69099935.0,0.0,19.0,34422800.0
2014-10-10,105.65019989013672,361.56201171875,16544.099609375,1.2689067125320435,1221.0,37.714351654052734,121.5,361.56201171875,16544.099609375,1.2689067125320435,1221.0,44.029998779296875,123.36000061035156,375.0669860839844,16544.099609375,1.2716013193130493,1223.5,46.119998931884766,121.5,352.9630126953125,16544.099609375,1.2610498666763306,1217.0,43.95000076293945,122.87000274658203,364.68701171875,16544.099609375,1.2689067125320435,1223.5,45.599998474121094,4214200.0,43665700,101708266.0,0.0,186.0,51978100.0
2014-10-11,,362.29901123046875,,,,,,362.29901123046875,,,,,,367.1910095214844,,,,,,355.95098876953125,,,,,,361.36199951171875,,,,,,13345200,,,,
2014-10-12,,378.54901123046875,,,,,,378.54901123046875,,,,,,379.4330139160156,,,,,,356.1440124511719,,,,,,362.6059875488281,,,,,,17552800,,,,
2014-10-13,104.73715209960938,390.41400146484375,16321.099609375,1.263982892036438,1229.300048828125,37.38884735107422,120.44999694824219,390.41400146484375,16321.099609375,1.263982892036438,1229.300048828125,43.650001525878906,123.19000244140625,397.22601318359375,16321.099609375,1.269999384880066,1234.0,44.560001373291016,120.26000213623047,368.8970031738281,16321.099609375,1.2635036706924438,1227.0,43.4900016784668,122.05000305175781,377.9209899902344,16321.099609375,1.2640947103500366,1229.800048828125,43.81999969482422,3878600.0,35221400,82033461.0,0.0,103.0,37100200.0
2014-10-14,106.3371353149414,400.8699951171875,16315.2001953125,1.272394061088562,1233.5999755859375,37.457366943359375,122.29000091552734,400.8699951171875,16315.2001953125,1.272394061088562,1233.5999755859375,43.72999954223633,123.37000274658203,411.697998046875,16315.2001953125,1.2732040882110596,1235.9000244140625,44.380001068115234,120.72000122070312,391.3240051269531,16315.2001953125,1.264080286026001,1233.5999755859375,43.560001373291016,121.83999633789062,391.6919860839844,16315.2001953125,1.272248387336731,1235.9000244140625,43.869998931884766,3768200.0,38491500,86677878.0,0.0,73.0,38115700.0
2014-10-15,104.51109313964844,394.77301025390625,16141.7001953125,1.2639029026031494,1244.0999755859375,37.020530700683594,120.19000244140625,394.77301025390625,16141.7001953125,1.2639029026031494,1244.0999755859375,43.220001220703125,121.12000274658203,402.22698974609375,16141.7001953125,1.2840431928634644,1247.0,43.38999938964844,116.31999969482422,388.7659912109375,16141.7001953125,1.2626103162765503,1243.699951171875,42.099998474121094,121.05999755859375,400.9549865722656,16141.7001953125,1.2644143104553223,1243.699951171875,43.0,7819000.0,25267100,129172305.0,0.0,250.0,60218700.0
2014-10-16,104.5980453491211,382.5559997558594,16117.2001953125,1.2821663618087769,1240.5,36.609371185302734,120.29000091552734,382.5559997558594,16117.2001953125,1.2821663618087769,1240.5,42.7400016784668,121.30000305175781,398.8070068359375,16117.2001953125,1.284438967704773,1243.0,43.08000183105469,118.38999938964844,373.07000732421875,16117.2001953125,1.2710679769515991,1236.699951171875,42.220001220703125,118.91000366210938,394.51800537109375,16117.2001953125,1.2820513248443604,1242.0999755859375,42.529998779296875,4492500.0,26990000,103374751.0,0.0,6.0,49040400.0
2014-10-17,107.16319274902344,383.75799560546875,16380.400390625,1.280442476272583,1238.300048828125,37.37171936035156,123.23999786376953,383.75799560546875,16380.400390625,1.280442476272583,1238.300048828125,43.630001068115234,123.87000274658203,385.4779968261719,16380.400390625,1.283489465713501,1238.300048828125,43.939998626708984,121.77999877929688,375.3890075683594,16380.400390625,1.2746502161026,1232.5999755859375,42.790000915527344,122.05000305175781,382.7560119628906,16380.400390625,1.2807542085647583,1237.4000244140625,43.20000076293945,4872400.0,13600700,104794074.0,0.0,356.0,40683300.0
